el	определённый артикль, м.р.
la	определённый артикль, ж.р.
un	неопределённый артикль, м.р.
una	неопределённый артикль, ж.р.
de	из; от; о; принадлежность
que	что; который
y	и
a	к; в; личное a
en	в; на
ser	быть; являться
se	себя; ему/ей; показатель возвратности
no	не; нет
haber	иметься; вспомогательный глагол
por	по; через; из-за; за
con	с
su	его; её; их; Ваш
para	для; чтобы; к сроку
como	как; поскольку
estar	быть; находиться; чувствовать себя
tener	иметь
le	ему; ей; Вам
lo	его; это; то, что
todo	весь; всё
pero	но
más	больше; ещё
hacer	делать
o	или
poder	мочь
decir	говорить; сказать
este	этот
ir	идти; ехать
otro	другой; ещё один
ese	тот; этот у тебя
si	если
me	меня; мне; себя (1 л.)
ya	уже; сейчас; больше не
ver	видеть; смотреть
porque	потому что
dar	давать
cuando	когда
él	он
muy	очень
sin	без
la vez	раз
mucho	много; очень
saber	знать; уметь
qué	что; какой
sobre	о; над; на; конверт
mi	мой
alguno	какой-нибудь; некоторый
mismo	тот же; сам
yo	я
también	тоже; также
hasta	до; даже
el año	год
dos	два
querer	хотеть; любить
entre	между; среди
así	так; таким образом
primero	первый; сначала
desde	из; с; начиная с
grande	большой; великий
eso	это; то
ni	ни; и не
nos	нас; нам; себя (1 л. мн.)
llegar	прибывать; приходить
pasar	проходить; проводить; случаться
el tiempo	время; погода
ella	она
sí	да; себя
el día	день
uno	один; некто
bien	хорошо; благо
poco	мало; немного
deber	быть должным; следует
entonces	тогда; значит
poner	класть; ставить; надевать
la cosa	вещь; дело
tanto	столько; так сильно
el hombre	мужчина; человек
parecer	казаться
nuestro	наш
tan	такой; настолько
donde	где; куда
ahora	сейчас
la parte	часть; сторона
después	после; потом
la vida	жизнь
quedar	оставаться; находиться; договариваться
siempre	всегда
creer	верить; считать
hablar	говорить; разговаривать
llevar	нести; носить; отвозить; занимать время
dejar	оставлять; позволять; прекращать
nada	ничто; ничего
cada	каждый
seguir	следовать; продолжать
menos	меньше; кроме
nuevo	новый
encontrar	находить; встречать
algo	что-то; немного
solo	один; только
llamar	звать; звонить
venir	приходить; приезжать
pensar	думать; намереваться
salir	выходить; уезжать
volver	возвращаться; снова делать
tomar	брать; пить; принимать
conocer	знать; быть знакомым
vivir	жить
sentir	чувствовать; сожалеть
tratar	пытаться; обращаться; быть о
mirar	смотреть
contar	считать; рассказывать
empezar	начинать
esperar	ждать; надеяться
buscar	искать
existir	существовать
entrar	входить
trabajar	работать
escribir	писать
perder	терять; проигрывать
producir	производить; вызывать
ocurrir	происходить; приходить в голову
entender	понимать
pedir	просить; заказывать
recibir	получать; принимать
recordar	помнить; напоминать
terminar	заканчивать
permitir	позволять
aparecer	появляться
conseguir	добывать; добиваться; суметь
comenzar	начинать
servir	служить; подавать; быть полезным
